human,hydra,type
CD302,t37374aep,one_one
CD302,t14127aep,one_one
CD302,t18575aep,one_one
CD302,t10577aep,one_one
CD302,t29116aep,one_one
CD302,t3748aep,one_one
CD302,t24316aep,one_one
CD302,t37154aep,one_one
CD302,t25811aep,one_one
CD302,t4638aep,one_one
CD302,t3361aep,one_one
CD302,t36266aep,one_one
CD302,t15436aep,one_one
CD302,t26609aep,one_one
CD302,t31640aep,one_one
CD302,t27269aep,one_one
CD302,t29005aep,one_one
CD302,t25855aep,one_one
CD302,t5755aep,one_one
ZBED4,t12244aep,one_one
ZBED4,t22423aep,one_one
ZBED4,t35576aep,one_one
ZBED4,t20823aep,one_one
ZBED4,t32188aep,one_one
ZBED4,t32534aep,one_one
ZBED4,t34521aep,one_one
ZBED4,t31348aep,one_one
ZBED4,t20848aep,one_one
ZBED4,t5804aep,one_one
ZBED4,t2684aep,one_one
ZBED4,t38287aep,one_one
ZBED4,t37553aep,one_one
ZBED4,t27019aep,one_one
ZBED4,t34249aep,one_one
ZBED4,t17725aep,one_one
ZBED4,t12248aep,one_one
TRAF6,t28162aep,one_one
TRAF4,t24177aep,one_one
TRAF4,t29728aep,one_one
TRAF4,t24468aep,one_one
TRAF4,t22642aep,one_one
TRAF4,t31409aep,one_one
TRAF4,t29818aep,one_one
TRAF4,t31408aep,one_one
TRAF4,t22643aep,one_one
TRAF4,t29817aep,one_one
TRAF4,t8161aep,one_one
TRAF4,t8160aep,one_one
TRAF4,t28335aep,one_one
TRAF4,t28333aep,one_one
TRAF4,t31407aep,one_one
TRAF4,t12955aep,one_one
TRAF4,t4807aep,one_one
TRAF4,t37902aep,one_one
TRAF4,t28563aep,one_one
TRAF4,t25877aep,one_one
TRAF4,t25400aep,one_one
SETMAR,t36479aep,one_one
SETMAR,t1072aep,one_one
SETMAR,t24236aep,one_one
SETMAR,t37276aep,one_one
SETMAR,t20071aep,one_one
SETMAR,t27722aep,one_one
SETMAR,t32527aep,one_one
SETMAR,t38618aep,one_one
SETMAR,t18340aep,one_one
SETMAR,t10593aep,one_one
SETMAR,t37445aep,one_one
SETMAR,t17201aep,one_one
